This is the data set after cleaning noises. This was used for the corresponding data analyses.


Timestamp,Consent,Age,Gender,Location,Educational Level,Domain,AI Usage Frequency,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,T1,T2,T3,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Motive,Trust,Vigilance,Well-being
17-03-2026 23:08,I agree to participate,20,Man,West Bengal,Undergraduate,Business & Commerce,Sometimes,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,7.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,5.0,5.0,99.0,18.0,43.0,43.0
17-03-2026 23:09,I agree to participate,19,Man,West Bengal,High School,Engineering & Technology,Always,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,5.0,1.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,31.0,10.0,42.0,45.0
17-03-2026 23:12,I agree to participate,22,Man,Delhi,Undergraduate,Business & Commerce,Often,3.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,68.0,13.0,26.0,37.0
17-03-2026 23:13,I agree to participate,19,Man,West Bengal,Undergraduate,Social Sciences,Always,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,80.0,11.0,53.0,48.0
17-03-2026 23:20,I agree to participate,21,Man,West Bengal,Undergraduate,Engineering & Technology,Always,5.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,82.0,15.0,41.0,53.0
17-03-2026 23:20,I agree to participate,22,Man,West Bengal,Undergraduate,Other,Often,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,5.0,1.0,4.0,4.0,2.0,4.0,5.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,1.0,4.0,57.0,9.0,23.0,45.0
17-03-2026 23:21,I agree to participate,21,Woman,West Bengal,Undergraduate,Business & Commerce,Sometimes,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,2.0,62.0,13.0,22.0,49.0
17-03-2026 23:28,I agree to participate,21,Woman,West Bengal,Undergraduate,Engineering & Technology,Always,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,65.0,12.0,36.0,36.0
17-03-2026 23:48,I agree to participate,21,Woman,West Bengal,Undergraduate,Engineering & Technology,Sometimes,5.0,3.0,3.0,2.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,84.0,15.0,47.0,43.0
17-03-2026 23:49,I agree to participate,20,Man,West Bengal,Undergraduate,Engineering & Technology,Sometimes,5.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,7.0,7.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,90.0,18.0,58.0,52.0
